,id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image
0,15970,Men,Apparel,Topwear,Shirts,Navy Blue,Fall,2011.0,Casual,Turtle Check Men Navy Blue Shirt,15970.jpg
1,53759,Men,Apparel,Topwear,Tshirts,Grey,Summer,2012.0,Casual,Puma Men Grey T-shirt,53759.jpg
2,1855,Men,Apparel,Topwear,Tshirts,Grey,Summer,2011.0,Casual,Inkfruit Mens Chain Reaction T-shirt,1855.jpg
3,30805,Men,Apparel,Topwear,Shirts,Green,Summer,2012.0,Ethnic,Fabindia Men Striped Green Shirt,30805.jpg
4,26960,Women,Apparel,Topwear,Shirts,Purple,Summer,2012.0,Casual,Jealous 21 Women Purple Shirt,26960.jpg
5,12369,Men,Apparel,Topwear,Shirts,Purple,Fall,2011.0,Formal,Reid & Taylor Men Check Purple Shirts,12369.jpg
6,42419,Girls,Apparel,Topwear,Tops,White,Summer,2012.0,Casual,Gini and Jony Girls Knit White Top,42419.jpg
7,13089,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,2011.0,Sports,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,13089.jpg
8,7990,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011.0,Sports,Fila Men's Round Neck Navy Blue T-shirt,7990.jpg
9,37812,Men,Apparel,Topwear,Shirts,Navy Blue,Summer,2012.0,Formal,John Players Men Navy Blue Shirt,37812.jpg
10,4729,Boys,Apparel,Topwear,Tshirts,Green,Summer,2011.0,Casual,Disney Kids Boy's Crew Sea Life Sialing Green Teen Kidswear,4729.jpg
11,56825,Men,Apparel,Topwear,Shirts,Brown,Summer,2012.0,Casual,John Players Men Brown Shirt,56825.jpg
12,20099,Women,Apparel,Topwear,Kurtas,Green,Fall,2011.0,Ethnic,Diva Women Embroided Green Kurta,20099.jpg
13,3954,Women,Apparel,Topwear,Tshirts,Pink,Summer,2011.0,Casual,Jealous 21 Women's Pink T-shirt,3954.jpg
14,28690,Women,Apparel,Topwear,Kurtas,Beige,Summer,2012.0,Ethnic,W Women Printed Beige Kurta,28690.jpg
15,8580,Men,Apparel,Topwear,Waistcoat,Grey,Fall,2011.0,Casual,Scullers Men  Grey Waistcoat,8580.jpg
16,9452,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Formal,John Miller Men Stripes White Red Shirts,9452.jpg
17,45856,Women,Apparel,Topwear,Kurtas,Brown,Summer,2012.0,Ethnic,Vishudh Women Brown Kurta,45856.jpg
18,5891,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Puma Men's Stripe Polo Black T-shirt,5891.jpg
19,38630,Women,Apparel,Topwear,Tshirts,Purple,Summer,2012.0,Casual,Nike Women Purple Polo T-shirt,38630.jpg
20,4943,Men,Apparel,Topwear,Shirts,White,Summer,2011.0,Casual,Gini and Jony Boy's Kaleb White Brown Kidswear,4943.jpg
21,10866,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Wrangler Men Motor Rider Red T-Shirts,10866.jpg
22,15528,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Puma Men Scribble Black Tshirts,15528.jpg
23,9660,Men,Apparel,Topwear,Shirts,Pink,Fall,2011.0,Casual,Indigo Nation Men Reversible Bling Pink Shirts,9660.jpg
24,2288,Women,Apparel,Topwear,Tshirts,Black,Fall,2010.0,Sports,Nike Women Black T-shirt,2288.jpg
25,23876,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011.0,Casual,ADIDAS Men Blue Sweatshirt,23876.jpg
26,18237,Men,Apparel,Topwear,Tshirts,Red,Fall,2011.0,Casual,Manchester United Men Solid Red Tshirt,18237.jpg
