,Unnamed: 0,id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,image
0,152,18208,Men,Accessories,Headwear,Caps,White,Fall,2011.0,Casual,Manchester United Men Solid White Cap,18208.jpg
1,244,58148,Unisex,Accessories,Headwear,Caps,White,Fall,2012.0,Casual,Puma Unisex White Cap,58148.jpg
2,277,25712,Unisex,Accessories,Headwear,Caps,Blue,Summer,2012.0,Sports,ADIDAS Unisex Blue Cap,25712.jpg
3,475,3739,Men,Accessories,Headwear,Caps,Blue,Fall,2010.0,Sports,ADIDAS Men Delhi Daredevil Blue Cap,3739.jpg
4,505,7736,Men,Accessories,Headwear,Caps,Red,Fall,2011.0,Casual,Puma Men Ferrari Lifestyle Red Cap,7736.jpg
5,540,25715,Unisex,Accessories,Headwear,Caps,Blue,Summer,2012.0,Sports,ADIDAS Unisex Blue Cap,25715.jpg
6,573,16537,Men,Accessories,Headwear,Caps,Blue,Fall,2011.0,Casual,Probase Men Check Blue Cap,16537.jpg
7,667,12735,Unisex,Accessories,Headwear,Caps,Black,Fall,2011.0,Sports,Nike Unisex U Black Caps,12735.jpg
8,794,18206,Men,Accessories,Headwear,Caps,Black,Fall,2011.0,Casual,Manchester United Men Solid Black Cap,18206.jpg
9,862,49239,Men,Accessories,Headwear,Caps,White,Fall,2012.0,Casual,Arrow Men White Cap,49239.jpg
10,1069,29122,Unisex,Accessories,Headwear,Caps,Black,Summer,2012.0,Casual,Puma Unisex Cat Logo Black Cap,29122.jpg
11,1105,19743,Women,Accessories,Headwear,Caps,Blue,Fall,2011.0,Casual,United colors of benetton Women Blue Cap,19743.jpg
12,1224,3737,Unisex,Accessories,Headwear,Caps,Purple,Fall,2010.0,Sports,Lotto Unisex Kochi Tuskers Sovenior Purple Orange Cap,3737.jpg
13,1544,11121,Women,Accessories,Headwear,Caps,Blue,Fall,2011.0,Casual,Puma Women Minicats Knit Blue Cap,11121.jpg
14,2002,13824,Men,Accessories,Headwear,Caps,Maroon,Fall,2011.0,Casual,Proline Men White & Maroon Colourblocked Beanie,13824.jpg
15,2110,19973,Men,Accessories,Headwear,Caps,Grey,Fall,2011.0,Casual,United Colors of Benetton Men Solid Grey Cap,19973.jpg
16,2163,43553,Men,Accessories,Headwear,Caps,Black,Summer,2012.0,Casual,Puma Men Black Complete Running Cap,43553.jpg
17,2235,40746,Women,Accessories,Headwear,Caps,Black,Winter,2012.0,Casual,Roxy Women Black Cap,40746.jpg
18,2806,7739,Unisex,Accessories,Headwear,Caps,Grey,Fall,2011.0,Sports,Puma Unisex Stripe Cat Steel Grey Cap,7739.jpg
19,3017,3736,Unisex,Accessories,Headwear,Caps,Orange,Fall,2010.0,Casual,Lotto Unisex Kochi Tuskers Orange Cap,3736.jpg
20,3056,10604,Unisex,Accessories,Headwear,Caps,Red,Fall,2011.0,Sports,Nike Unisex Tennis Red Caps,10604.jpg
21,3170,18207,Men,Accessories,Headwear,Caps,Red,Fall,2011.0,Casual,Manchester United Men Solid Red Cap,18207.jpg
22,3199,28654,Unisex,Accessories,Headwear,Caps,Grey,Winter,2012.0,Casual,Nike Unisex Grey FCB Cap,28654.jpg
23,3337,10603,Unisex,Accessories,Headwear,Caps,Grey,Fall,2011.0,Sports,Nike Unisex Tennis Grey Caps,10603.jpg
24,3365,49238,Men,Accessories,Headwear,Caps,Black,Fall,2012.0,Casual,Arrow Men Black Cap,49238.jpg
25,3378,20062,Women,Accessories,Headwear,Caps,Purple,Fall,2011.0,Casual,United Colors of Benetton Women Solid Purple Cap,20062.jpg
26,3728,7737,Unisex,Accessories,Headwear,Caps,Black,Fall,2011.0,Sports,Puma Unisex Stripe Cat Black Cap,7737.jpg
27,3794,16536,Women,Accessories,Headwear,Caps,Red,Fall,2011.0,Casual,Probase Women Checked Orange & Red Cap,16536.jpg
28,3814,25714,Unisex,Accessories,Headwear,Caps,Black,Spring,2013.0,Casual,ADIDAS Unisex NBA Black Cap,25714.jpg
29,3852,49236,Men,Accessories,Headwear,Caps,Cream,Fall,2012.0,Casual,Arrow Men Cream Cap,49236.jpg
30,3963,49807,Men,Accessories,Headwear,Caps,Red,Summer,2012.0,Casual,Flying Machine Men Red Cap,49807.jpg
31,3972,25713,Unisex,Accessories,Headwear,Caps,Black,Spring,2013.0,Sports,ADIDAS Unisex Chicago Bulls Black Cap,25713.jpg
32,3984,58149,Women,Accessories,Headwear,Caps,Pink,Summer,2012.0,Casual,Puma Women Pink Sparkle Cat Cap,58149.jpg
33,4087,18209,Men,Accessories,Headwear,Caps,Navy Blue,Fall,2011.0,Casual,Manchester United Men Printed Navy Blue Cap,18209.jpg
34,4556,40111,Unisex,Accessories,Headwear,Caps,Black,Spring,2013.0,Casual,ADIDAS Unisex Black Cap,40111.jpg
35,4586,40747,Women,Accessories,Headwear,Caps,Beige,Winter,2012.0,Casual,Roxy Women Beige Cap,40747.jpg
36,4618,28609,Men,Accessories,Headwear,Caps,Grey,Summer,2012.0,Casual,Nike Men Classic Swoosh Grey Cap,28609.jpg
37,4687,43552,Unisex,Accessories,Headwear,Caps,Blue,Summer,2012.0,Casual,Puma Unisex Blue Complete Running Cap,43552.jpg
38,4894,40771,Men,Accessories,Headwear,Caps,Blue,Summer,2012.0,Casual,Quiksilver Men Blue Firsty Roundtails Cap,40771.jpg
39,5122,9436,Unisex,Accessories,Headwear,Caps,Black,Fall,2011.0,Casual,Nike Unisex Rafa Bull Log Black Caps,9436.jpg
40,5725,49789,Men,Accessories,Headwear,Caps,Red,Summer,2012.0,Casual,Flying Machine Men Red Cap,49789.jpg
41,5993,21439,Women,Accessories,Headwear,Caps,Purple,Summer,2012.0,Casual,Roxy Women Be Happy Purple Cap,21439.jpg
42,6065,43072,Unisex,Accessories,Headwear,Caps,Black,Summer,2012.0,Casual,Nike Unisex Black Cap,43072.jpg
43,6327,38146,Unisex,Accessories,Headwear,Caps,Grey,Summer,2012.0,Casual,Wildcraft Unisex Grey Beanie,38146.jpg
44,6349,29034,Unisex,Accessories,Headwear,Caps,Navy Blue,Summer,2012.0,Casual,ADIDAS Unisex Line Age Navy Blue Cap,29034.jpg
45,6385,49787,Men,Accessories,Headwear,Caps,White,Summer,2012.0,Casual,Flying Machine Men White Cap,49787.jpg
46,6388,17951,Unisex,Accessories,Headwear,Caps,Red,Fall,2011.0,Casual,Nike Unisex Knit Beanie Red Skull Cap,17951.jpg
47,6418,13162,Unisex,Accessories,Headwear,Caps,White,Fall,2011.0,Casual,Puma Unisex Unisex Cat Logo White Caps,13162.jpg
48,6589,40063,Unisex,Accessories,Headwear,Caps,Blue,Summer,2012.0,Casual,ADIDAS Unisex Blue Cap,40063.jpg
49,6604,17956,Women,Accessories,Headwear,Caps,Purple,Fall,2011.0,Sports,Nike Women Stay Cool Purple Cap,17956.jpg
50,6632,29033,Unisex,Accessories,Headwear,Caps,Black,Summer,2012.0,Casual,ADIDAS Unisex Corp Black Cap,29033.jpg
51,6744,17531,Unisex,Accessories,Headwear,Caps,Navy Blue,Fall,2011.0,Sports,ADIDAS Unisex Sports Navy Blue Caps,17531.jpg
52,6842,36646,Unisex,Accessories,Headwear,Caps,Blue,Summer,2012.0,Sports,Puma Deccan Chargers Blue Homs Cap,36646.jpg
53,6856,2364,Unisex,Accessories,Headwear,Caps,Blue,Fall,2010.0,Sports,ADIDAS Blue Cap,2364.jpg
54,7220,19434,Men,Accessories,Headwear,Caps,Blue,Summer,2012.0,Casual,Quiksilver Men Blue Sting Ray Beanie Hat,19434.jpg
55,7489,4450,Unisex,Accessories,Headwear,Caps,Red,Summer,2011.0,Casual,Nike Unisex Arsenal  Red White Cap,4450.jpg
56,7552,19433,Men,Accessories,Headwear,Caps,Black,Summer,2012.0,Casual,Quiksilver Men Black Beanie Cap,19433.jpg
57,7593,36088,Unisex,Accessories,Headwear,Caps,Navy Blue,Summer,2012.0,Casual,OTLS Unisex Navy Cap,36088.jpg
58,7696,10785,Unisex,Accessories,Headwear,Caps,Grey,Fall,2011.0,Sports,Nike Unisex Runng Grey Caps,10785.jpg
59,7740,9977,Unisex,Accessories,Headwear,Caps,Black,Fall,2011.0,Sports,ADIDAS Unisex Bulls Black Red Cap,9977.jpg
60,7747,3471,Men,Accessories,Headwear,Caps,Black,Fall,2010.0,Sports,ADIDAS Men Adipure Black Cap,3471.jpg
61,7787,9379,Unisex,Accessories,Headwear,Caps,Black,Fall,2011.0,Casual,Nike Unisex Manu Core Black Cap,9379.jpg
62,7916,39492,Unisex,Accessories,Headwear,Caps,Beige,Spring,2013.0,Casual,Wildcraft Unisex Beige Cap,39492.jpg
63,8009,1577,Unisex,Accessories,Headwear,Caps,Green,Fall,2010.0,Sports,Inesis  Slim Shady Cap,1577.jpg
64,8081,36086,Unisex,Accessories,Headwear,Caps,Beige,Summer,2012.0,Casual,OTLS Unisex Beige Polo Cap,36086.jpg
65,8193,3449,Unisex,Accessories,Headwear,Caps,Black,Summer,2011.0,Sports,ADIDAS Kids Unisex Pune Warriors Black Cap,3449.jpg
66,8230,39495,Unisex,Accessories,Headwear,Caps,Beige,Summer,2012.0,Casual,Wildcraft Unisex Beige Hat,39495.jpg
67,8426,17957,Men,Accessories,Headwear,Caps,Navy Blue,Summer,2012.0,Sports,Nike Men Cricket Navy Blue Cap,17957.jpg
68,8451,29032,Unisex,Accessories,Headwear,Caps,Blue,Summer,2012.0,Casual,ADIDAS Unisex Corp Blue Cap,29032.jpg
69,8501,7617,Men,Accessories,Headwear,Caps,Green,Summer,2011.0,Casual,Wrangler Men Green Canvas Cap,7617.jpg
70,8509,19208,Men,Accessories,Headwear,Caps,Grey,Summer,2011.0,Casual,United Colors of Benetton Men Check Grey Cap,19208.jpg
71,8591,17530,Unisex,Accessories,Headwear,Caps,White,Fall,2011.0,Sports,ADIDAS Unisex Sports White Caps,17530.jpg
72,8710,17950,Unisex,Accessories,Headwear,Caps,Black,Fall,2011.0,Sports,Nike Unisex Swoosh Black Bandana,17950.jpg
73,8863,40062,Unisex,Accessories,Headwear,Caps,Orange,Summer,2012.0,Casual,ADIDAS Unisex Orange Cap,40062.jpg
74,8970,2362,Unisex,Accessories,Headwear,Caps,Black,Summer,2011.0,Sports,ADIDAS Black Cap,2362.jpg
75,9015,21438,Women,Accessories,Headwear,Caps,Blue,Winter,2012.0,Casual,Roxy Women Mellow Beanie Blue Cap,21438.jpg
76,9114,11259,Men,Accessories,Headwear,Caps,Black,Fall,2011.0,Casual,ADIDAS Men Nba Celtics Black Caps,11259.jpg
77,9132,7619,Men,Accessories,Headwear,Caps,Blue,Summer,2011.0,Casual,Wrangler Men Light Blue Canvas Cap,7619.jpg
78,9140,19206,Men,Accessories,Headwear,Caps,Black,Summer,2011.0,Casual,United Colors of Benetton Men Black Cap,19206.jpg
79,9250,43073,Men,Accessories,Headwear,Caps,Blue,Summer,2012.0,Casual,Nike Men Blue Odi Game Day Cap,43073.jpg
80,9554,41511,Men,Accessories,Headwear,Caps,Blue,Summer,2012.0,Casual,Basics Men Blue Beret Cap,41511.jpg
81,9633,49788,Men,Accessories,Headwear,Caps,Navy Blue,Summer,2012.0,Casual,Flying Machine Men Navy Blue Cap,49788.jpg
82,9869,36087,Unisex,Accessories,Headwear,Caps,Pink,Summer,2012.0,Casual,OTLS Unisex Pink Cap,36087.jpg
83,10056,9378,Unisex,Accessories,Headwear,Caps,Black,Fall,2011.0,Casual,Nike Unisex Cbf Core Black Caps,9378.jpg
84,10249,10784,Unisex,Accessories,Headwear,Caps,Black,Fall,2011.0,Sports,Nike Unisex Runng Black Caps,10784.jpg
85,10274,39493,Unisex,Accessories,Headwear,Caps,Black,Summer,2012.0,Casual,Wildcraft Unisex Beige Cap,39493.jpg
86,10288,38125,Unisex,Accessories,Headwear,Caps,Olive,Summer,2012.0,Casual,Wildcraft Unisex Olive Green Cap,38125.jpg
87,10453,4451,Unisex,Accessories,Headwear,Caps,Red,Summer,2011.0,Casual,Nike Unisex Manchester United Red Black Cap,4451.jpg
88,10605,36089,Unisex,Accessories,Headwear,Caps,Brown,Summer,2012.0,Casual,OTLS Unisex Brown Cap,36089.jpg
89,10958,19435,Men,Accessories,Headwear,Caps,Blue,Summer,2012.0,Casual,Quiksilver Men Stripes Blue Caps,19435.jpg
90,11062,9978,Unisex,Accessories,Headwear,Caps,Black,Fall,2011.0,Sports,ADIDAS Unisex Lakers Black Purple Cap,9978.jpg
91,11345,19884,Women,Accessories,Headwear,Caps,White,Fall,2011.0,Casual,ADIDAS Originals Women Brillo White Cap,19884.jpg
92,11476,2589,Women,Accessories,Headwear,Caps,Maroon,Summer,2011.0,Casual,Quechua Women Maroon Cap,2589.jpg
93,11605,15024,Men,Accessories,Headwear,Caps,Blue,Fall,2011.0,Sports,ADIDAS Men Solid Blue Caps,15024.jpg
94,11663,19883,Men,Accessories,Headwear,Caps,Black,Fall,2011.0,Casual,ADIDAS Originals Men St Truck Black Cap,19883.jpg
95,12216,38564,Unisex,Accessories,Headwear,Caps,Black,Winter,2015.0,Casual,Nike Unisex Black Cap,38564.jpg
96,12283,25022,Unisex,Accessories,Headwear,Caps,Grey,Summer,2012.0,Sports,Nike Unisex Grey Tennis Cap,25022.jpg
97,12491,41533,Men,Accessories,Headwear,Caps,Red,Summer,2012.0,Casual,Basics Men Red Cap,41533.jpg
98,13028,13721,Men,Accessories,Headwear,Caps,Blue,Fall,2011.0,Casual,Proline Men Blue Patterned Beanie,13721.jpg
99,13099,49792,Men,Accessories,Headwear,Caps,Green,Winter,2015.0,Casual,Flying Machine Men Green Cap,49792.jpg
100,13218,34797,Men,Accessories,Headwear,Caps,Grey,Summer,2012.0,Casual,Flying Machine Men Grey Hat,34797.jpg
101,13236,38966,Unisex,Accessories,Headwear,Caps,Beige,Summer,2015.0,Casual,Wildcraft Unisex Beige Safari Cap,38966.jpg
